Domain	Filename	Entity	Linkable	Split	Split Terms	Wiki IDs
Agriculture	S0038071712001010.ann	Microbial biomass-C		No		,
Agriculture	S0254629913003086.ann	organic P		No		
Agriculture	S0167880913001229.ann	above-ground and below-ground carbon		Yes	above-ground, below-ground, carbon	,ADJECTIVE_1370569_0_1;,ADJECTIVE_1400234_0_1; https://en.wikipedia.org/wiki/Carbon,NOUN_28838_0_1
Agriculture	S0038071711004354.ann	CO2 respiration/decomposition		Yes	CO2 respiration,decomposition	https://en.wikipedia.org/wiki/Carbon_respiration,;,
Agriculture	S0031405612000728.ann	plant biomass		No		
Agriculture	S0038071711004354.ann	younger and more labile sources	No			
Agriculture	S0031405612000728.ann	the development	No			
Agriculture	S0038071711004354.ann	the three-way model		No	model	https://en.wikipedia.org/wiki/Conceptual_model,NOUN_56719_0_4
Agriculture	S0038071713001971.ann	the key variable		No	variable	,NOUN_41481_1_2
Agriculture	S037842901300244X.ann	the C5-FS	No			
Agriculture	S037842901300244X.ann	extracted	No			
Agriculture	S0031405612000728.ann	treatments				,NOUN_79499_0_3
Agriculture	S0261219413001944.ann	a linear dose dependent manner		No	dose dependent	https://en.wikipedia.org/wiki/Dose%E2%80%93response_relationship,
Agriculture	S0167880913001229.ann	shade type	No			
Agriculture	S0031405612000728.ann	all treatments		No	treatments	,NOUN_79499_0_3
Agriculture	S0031405612000728.ann	organic C		No		https://en.wikipedia.org/wiki/Total_organic_carbon,
Agriculture	S0031405612000728.ann	planted soils		Yes	planted, soils	https://en.wikipedia.org/wiki/Sowing,VERB_3463_1_1;https://en.wikipedia.org/wiki/Soil,NOUN_5217_0_1
Agriculture	S0378112713005288.ann	native woodland		No		https://en.wikipedia.org/wiki/Native_plant,
Agriculture	S037842901300244X.ann	evaluated	No			
Agriculture	S0168945213001805.ann	yield potential		Yes	yield, potential	,NOUN_72653_1_2;https://en.wikipedia.org/wiki/Potential,NOUN_62390_0_4
Agriculture	S0038071713001971.ann	scale-free, small world and modular properties		Yes	scale-free, small world, modular	https://en.wikipedia.org/wiki/Scale-free_network,;https://en.wikipedia.org/wiki/Small-world_network,;https://en.wikipedia.org/wiki/Modularity,ADJECTIVE_194090_0_1
Agriculture	S0038071712001010.ann	pores		No	pores	https://en.wikipedia.org/wiki/Pore_space_in_soil,NOUN_175492_0_2
Agriculture	S1161030113001950.ann	disparities	No			
Agriculture	S0378112713005288.ann	native woody tree species		Yes	native, woody tree species	,ADJECTIVE_49762_0_5;https://en.wikipedia.org/wiki/Tree,
